"species_name","Count"
"ABIES",139
"ACERIFOLIA   X",1724
"ACUMINATA",7
"ACUTISSIMA",526
"AILANTHIFOLIA",5
"ALBA",26
"ALBA-SINENSIS",3
"ALNIFOLIA",274
"ALPINUM",1
"ALTISSIMA",4
"AMERICANA",5515
"AMURENSE",5
"ANAGYROIDES",14
"ANGUSTIFOLIA",9
"ANTARTICA",26
"AQUIFOLIUM",155
"ARAUCANA",10
"ARBOREUM",2
"ARGUTUM",7
"ARIA",606
"ARMENIACA",2
"ARNOLDIANA X",17
"ASCENDENS",5
"ATLANTICA",20
"AUCUPARIA",612
"AVELLANA",27
"AVIUM",657
"BABYLONICA",45
"BACCATA",103
"BALSAMEA",9
"BANKSIANA",13
"BARBATUM",5
"BETULUS",5195
"BIGNONIOIDES",381
"BILOBA",242
"BLIREANA",62
"BUNGEI",43
"CALLERYANA",2194
"CAMPESTRE",3477
"CANADENSIS",476
"CANESCENS   X",2
"CAPILLIPES",16
"CAPITATA",1
"CAPPADOCICUM",417
"CARICA",9
"CARNEA   X",245
"CAROLINIANA",418
"CARPINIFOLIA",17
"CERASIFERA",12031
"CHINENSE",182
"CHINENSIS",34
"CINEREA",27
"CIRCINATUM",98
"CISSIFOLIUM",20
"COCCINEA",351
"COCOMILIA",3
"COLUMA",6
"COLURNA",52
"COMMUNIS",21
"CONCOLOR",10
"CONTORTA",114
"CONTROVERSA",66
"CORDATA",1146
"CRENATA",84
"CRUS-GALLI",259
"CYLINDRICA",2
"DAVIDII",54
"DAWSONIANA",7
"DECIDUA",12
"DECURRENS",29
"DENTATA",7
"DENUDATA",94
"DEODARA",246
"DIOICUS",37
"DISTICHUM",6
"DOMESTICA",24
"DOUGLASII",205
"ELATA",4
"ELLIPSOIDALIS",38
"EMARGINATA",1
"ENGELMANNII",3
"ERUBESCENS",6
"EUCHLORA   X",4427
"EUROPAEA   X",133
"EUROPEA",13
"EXCELSIOR",1117
"FLAVA",14
"FLEXILUS",17
"FLORIBUNDA",1689
"FLORIDA",145
"FORTUNEI",11
"FRAINETTO",48
"FRAXINIFOLIA",2
"FREEMANI   X",4164
"GARRYANA",4
"GERMANICA",19
"GIGANTEUM",134
"GINNALA",276
"GLABRA",277
"GLABRUM",16
"GLAUCA",30
"GLUTINOSA",2
"GLYPTOSTROBOIDES",398
"GRANDIFLORA",92
"GRANDIFLORA X",156
"GRANDIFOLIA",32
"GRANDIS",107
"GRIFFITHII",3
"GRISEUM",510
"HENRYI",4
"HETEROPHYLLA",121
"HILLIERI",38
"HIPPOCASTANUM",2277
"HISPIDA",3
"HOLLANDICA   X",20
"HUPEHENSIS",4
"HYBRIDA X",17
"INSIGNIS",19
"INVOLUCRATA",177
"JACQUEMONTII",80
"JAPONICA",1743
"JAPONICUM",2078
"JEFFREYI",2
"JULIBRISSIN",1
"KEWENSIS X",113
"KOBUS",2691
"KOREANA",10
"KOUSA",1030
"LAEVIS",6
"LASIOCARPA",1
"LATIFOLIA",8
"LAVALLEI  X",1346
"LAWSONIANA",417
"LENTAGO",5
"LEYLANDII",2
"LIKIANGENSIS",10
"LILIIFLORA",18
"LOEBNERI  X",18
"LUSITANICA",53
"LUTEA",35
"MAACKII",14
"MACROCARPA",57
"MACROPHYLLUM",398
"MARIANA",10
"MAS",26
"MATSUDANA",7
"MAXIMA",13
"MENZIESII",742
"MERTENSIANA",13
"MESERVEAE",4
"MICROMALUS   X",4
"MIYABEI",19
"MOLLIS",21
"MONADELPHA",37
"MONOGYNA",53
"MONTICOLA",12
